TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PMAM3;0,27;;-0,06;-0,01;0,07;-41,46;-106,56;-236,74;-0,13;-9,57;-9,44;;0,14;-0,01;-0,08;0,03;-17,65;-110,30;33,55;-6,25;7,25;0,47;-33,40;;965.878,48;-25,38;-4,48;0,00;80.243.522,91
PNVL3;11,34;4,23;12,88;1,31;0,47;32,37;4,73;2,32;6,33;10,34;4,01;0,83;0,30;1,77;-1,12;1,81;10,18;3,61;8,54;0,35;0,65;1,56;14,35;18,71;7.970.129,76;8,65;0,88;0,36;1.705.280.634,54
PNVL4;18,62;;21,15;2,15;0,76;32,37;4,73;2,32;10,39;10,34;4,01;0,83;0,49;2,91;-1,84;1,81;10,18;3,61;8,54;0,35;0,65;1,56;14,35;18,71;;8,65;0,88;0,59;1.705.280.634,54
POMO3;5,50;18,73;5,51;1,69;0,72;25,49;15,36;13,81;4,95;6,27;1,12;0,38;0,76;2,48;-1,78;1,97;30,72;13,13;13,41;0,43;0,57;0,95;20,33;64,41;4.048.544,48;3,25;1,00;0,54;7.154.075.733,85
POMO4;5,85;17,61;5,86;1,80;0,77;25,49;15,36;13,81;5,27;6,27;1,12;0,38;0,81;2,64;-1,89;1,97;30,72;13,13;13,41;0,43;0,57;0,95;20,33;64,41;41.257.692,24;3,25;1,00;0,57;7.154.075.733,85
PORT3;18,75;;12,35;3,01;1,30;48,59;33,87;21,21;7,74;9,78;2,05;0,80;2,62;-299,66;-1,57;0,97;24,37;10,56;15,74;0,43;0,57;0,50;12,80;42,19;1.155.515,00;6,23;1,52;0,30;8.304.973.125,00
POSI3;3,99;4,50;57,55;0,36;0,13;24,87;7,33;0,29;2,28;4,79;2,50;0,40;0,17;0,50;-0,35;1,69;0,63;0,22;8,42;0,36;0,64;0,77;8,88;-44,75;4.078.032,38;10,98;0,07;0,24;565.782.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;80,13;1,21;0,10;0,07;;;;1,37;0,63;-0,74;-0,05;;2,00;-0,07;3,32;8,10;5,69;7,03;0,70;0,30;0,00;;;;148,64;12,04;0,01;4.721.494,00
PPAR4;0,00;;0,00;0,00;0,00;;;;0,00;0,63;-0,74;-0,05;;0,00;0,00;3,32;8,10;5,69;7,03;0,70;0,30;0,00;;;;148,64;12,04;0,00;4.721.494,00
PPLA11;75,00;;0,23;175,89;5,01;;;;0,23;0,23;0,00;-0,13;;-1.407,15;-156,35;1,00;74.950,00;2.133,81;74.950,00;0,03;0,97;0,00;;;395,76;0,43;319,58;0,00;1.407.150,00
PRIO3;53,29;;17,95;1,75;0,73;25,55;18,08;14,65;14,55;22,09;7,54;0,91;2,63;9,11;-0,88;1,92;9,72;4,08;2,82;0,42;0,58;0,28;52,26;41,73;497.774.023,05;30,52;2,97;-0,23;46.495.272.565,27
PRNR3;17,96;;23,67;1,89;0,54;18,60;9,06;2,67;6,97;10,55;3,58;0,97;0,63;3,85;-0,98;1,47;7,98;2,30;8,02;0,29;0,67;0,86;45,21;;6.900.180,86;9,51;0,76;0,07;1.021.455.962,40
PSSA3;53,26;5,66;9,35;2,22;0,60;100,00;7,63;8,81;10,79;6,70;-4,09;-0,84;0,82;5,19;-1,47;1,24;23,70;6,41;14,03;0,27;0,73;0,73;17,03;16,88;63.214.336,38;24,03;5,70;0,31;34.437.173.555,60
PTBL3;1,62;;-0,76;-6,18;0,06;34,74;5,00;-11,49;1,75;10,70;8,96;;0,09;-3,94;-0,10;0,96;-812,08;-8,35;2,22;-0,01;1,01;0,73;14,37;;581.515,62;-0,26;-2,13;0,00;228.398.755,32
PTCA11;0,00;;0,00;0,00;0,00;46,99;10,44;4,59;0,00;2,16;2,16;0,87;0,00;0,00;0,00;2,43;17,76;5,60;8,38;0,32;0,68;1,22;26,36;29,84;;30,17;5,36;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;46,99;10,44;4,59;0,00;2,16;2,16;0,87;0,00;0,00;0,00;2,43;17,76;5,60;8,38;0,32;0,68;1,22;26,36;29,84;;30,17;5,36;0,00;0,00
PTNT3;8,42;3,15;14,31;0,93;0,35;15,94;4,43;3,41;11,02;15,16;4,07;0,34;0,49;0,81;-0,89;3,47;6,48;2,44;0,93;0,38;0,57;0,71;12,50;;0,00;9,07;0,59;-0,54;407.113.794,08
PTNT4;8,50;;14,45;0,94;0,35;15,94;4,43;3,41;11,12;15,16;4,07;0,34;0,49;0,81;-0,90;3,47;6,48;2,44;0,93;0,38;0,57;0,71;12,50;;373,27;9,07;0,59;-0,54;407.113.794,08
QUAL3;1,80;0,31;33,56;0,39;0,13;87,58;21,25;1,10;1,73;4,42;2,69;0,61;0,37;-4,46;-0,19;0,92;1,17;0,38;4,11;0,33;0,67;0,35;-6,77;-47,78;6.523.836,48;4,59;0,05;0,11;511.225.785,00
QUSW3;0,00;;0,00;0,00;0,00;103,91;61,14;35,49;0,00;1,70;1,70;0,50;0,00;0,00;0,00;1,12;17,21;7,66;15,74;0,45;0,55;0,22;-12,65;15,99;;142,53;24,53;0,00;0,00
QVQP3B;0,28;;-853,28;648,49;648,49;;;;-779,44;-778,74;0,70;-0,58;;648,49;;;-76,00;-76,00;-83,20;1,00;0,00;0,00;;;0,00;0,00;0,00;32,37;81.061.498,28
RADL3;17,35;2,34;23,53;4,14;1,20;30,10;6,07;2,89;11,19;12,34;1,15;0,43;0,68;6,20;-3,07;1,47;17,60;5,11;22,81;0,29;0,71;1,77;17,14;21,67;174.968.822,91;4,19;0,74;2,39;30.403.573.418,40
RAIL3;13,69;0,79;24,46;1,83;0,47;45,56;34,22;7,34;5,25;8,85;3,60;1,26;1,80;11,24;-0,56;1,37;7,49;1,94;10,83;0,26;0,74;0,26;14,73;28,48;125.746.246,00;7,48;0,56;-0,14;25.447.363.766,73
RAIZ4;0,41;;-0,19;-2,66;0,04;3,96;-3,16;-9,58;-0,58;-8,93;-8,35;;0,02;0,17;-0,07;1,69;-1.393,79;-18,75;-19,66;-0,01;1,01;1,96;20,39;;7.519.561,95;-0,15;-2,15;0,00;4.244.528.888,44
RANI3;7,80;6,12;8,87;1,22;0,47;39,03;24,18;12,12;4,45;7,12;2,68;0,74;1,07;2,59;-0,70;2,19;13,78;5,27;8,97;0,38;0,62;0,43;10,37;16,93;4.631.986,55;6,38;0,88;-0,24;1.797.909.508,20
RANI4;5,50;;6,25;0,86;0,33;39,03;24,18;12,12;3,13;7,12;2,68;0,74;0,76;1,82;-0,49;2,19;13,78;5,27;8,97;0,38;0,62;0,43;10,37;16,93;;6,38;0,88;-0,17;1.797.909.508,20
RAPT3;4,57;;-5,50;0,51;0,08;25,08;6,71;-2,23;1,83;8,04;6,21;1,75;0,12;0,30;-0,19;2,07;-9,35;-1,53;5,81;0,16;0,76;0,69;19,64;;78.258,10;8,89;-0,83;0,03;1.598.241.746,47
RAPT4;4,57;;-5,50;0,51;0,08;25,08;6,71;-2,23;1,83;8,04;6,21;1,75;0,12;0,30;-0,19;2,07;-9,35;-1,53;5,81;0,16;0,76;0,69;19,64;;13.727.490,86;8,89;-0,83;0,03;1.598.241.746,47
RCSL3;0,38;;-2,90;-3,53;1,44;-8,11;-1.425,17;-2.762,42;-5,62;-6,70;0,00;;80,08;24,55;-2,12;1,22;-121,91;-49,67;61,91;-0,41;1,41;0,02;-43,97;;44.140,43;-0,11;-0,13;0,24;57.679.590,80
RCSL4;0,49;;-3,74;-4,56;1,86;-8,11;-1.425,17;-2.762,42;-7,25;-6,70;0,00;;103,26;31,66;-2,74;1,22;-121,91;-49,67;61,91;-0,41;1,41;0,02;-43,97;;2.263.773,33;-0,11;-0,13;0,31;57.679.590,80
RDNI3;2,14;;-0,43;4,13;0,10;1,47;-40,54;-60,48;-0,64;-3,59;-2,95;19,01;0,26;0,82;-0,23;1,30;-961,84;-24,32;-32,32;0,03;0,96;0,40;1,98;;3.199,00;0,52;-4,99;-0,01;93.667.389,12
RDOR3;34,71;12,24;16,85;3,93;0,71;22,21;18,35;8,08;7,42;8,12;0,69;0,37;1,36;2,18;-1,41;2,86;23,35;4,20;13,60;0,18;0,80;0,52;31,77;60,87;242.243.902,14;8,82;2,06;1,29;77.760.555.798,90
RECV3;10,02;6,81;5,50;0,70;0,32;30,80;20,52;17,93;4,81;7,28;2,48;0,36;0,99;2,42;-0,43;2,18;12,74;5,90;6,27;0,46;0,54;0,33;32,00;;23.707.028,71;14,30;1,82;-1,50;2.940.690.902,52
REDE3;5,97;6,97;13,51;2,46;0,43;25,32;18,51;5,72;4,18;8,58;4,40;2,59;0,77;3,19;-0,61;1,88;18,19;3,19;12,41;0,18;0,81;0,56;11,41;4,51;6.247,52;2,43;0,44;-0,93;15.332.179.306,83
RENT3;43,10;3,60;21,50;1,84;0,57;26,39;19,31;5,13;5,71;9,52;3,81;1,23;1,10;12,92;-0,74;1,23;8,57;2,64;10,68;0,31;0,69;0,51;32,30;16,55;324.080.604,95;23,40;2,01;1,25;48.455.577.769,50
RENT4;41,42;;20,66;1,77;0,54;26,39;19,31;5,13;5,49;9,52;3,81;1,23;1,06;12,42;-0,71;1,23;8,57;2,64;10,68;0,31;0,69;0,51;32,30;16,55;9.026.489,10;23,40;2,01;1,20;48.455.577.769,50
RIAA3;9,35;26,16;3,12;0,88;0,33;60,93;22,34;14,20;1,98;2,44;0,46;0,21;0,44;1,38;-0,94;1,60;28,33;10,69;26,65;0,38;0,62;0,75;10,94;;9.692.479,38;10,59;3,00;0,01;4.696.844.049,70
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;;5,41;0,28;-2,42;10.691.215.482,28
RNEW11;3,23;;-2,84;0,35;0,13;-5,45;1,10;-26,00;66,75;175,68;108,93;0,57;0,74;-3,58;-0,14;0,69;-12,28;-4,65;0,19;0,38;0,62;0,18;48,84;;1.615,00;9,27;-1,14;-0,11;401.720.052,67
RNEW3;0,90;;-2,37;0,29;0,11;-5,45;1,10;-26,00;55,80;175,68;108,93;0,57;0,62;-2,99;-0,12;0,69;-12,28;-4,65;0,19;0,38;0,62;0,18;48,84;;31.752,52;3,09;-0,38;-0,09;401.720.052,67
RNEW4;0,89;;-2,35;0,29;0,11;-5,45;1,10;-26,00;55,18;175,68;108,93;0,57;0,61;-2,96;-0,12;0,69;-12,28;-4,65;0,19;0,38;0,62;0,18;48,84;;20.972,86;3,09;-0,38;-0,09;401.720.052,67
ROMI3;6,04;6,95;7,26;0,45;0,21;28,18;6,45;6,08;6,85;13,64;6,79;0,45;0,44;0,62;-0,55;2,27;6,24;2,93;1,82;0,47;0,53;0,48;6,39;-14,99;915.301,27;13,33;0,83;-0,27;562.751.311,88
RPAD3;6,50;0,14;6,38;0,54;0,53;;;;7,45;5,71;-1,74;-0,13;;4,28;-0,61;35,00;8,43;8,34;6,70;0,99;0,01;0,00;;20,49;832,38;12,08;1,02;-0,04;550.434.748,50
RPAD5;7,00;8,16;6,87;0,58;0,57;;;;8,02;5,71;-1,74;-0,13;;4,61;-0,66;35,00;8,43;8,34;6,70;0,99;0,01;0,00;;20,49;1.491,86;12,08;1,02;-0,04;550.434.748,50
RPAD6;6,50;0,16;6,38;0,54;0,53;;;;7,45;5,71;-1,74;-0,13;;4,28;-0,61;35,00;8,43;8,34;6,70;0,99;0,01;0,00;;20,49;2.905,88;12,08;1,02;-0,04;550.434.748,50
RPMG3;1,26;;-0,05;-0,01;0,01;-14,43;-20,96;-19,19;-0,05;-0,02;0,03;;0,01;-0,03;-0,18;0,76;-22,32;-16,12;24,36;-0,72;1,72;0,84;42,58;;8.548,48;-109,81;-24,51;0,00;85.291.452,54
RSID3;1,60;;0,39;-0,04;0,07;18,63;33,41;53,86;0,64;8,11;7,48;;0,21;-0,28;-0,12;0,59;-10,46;18,37;-8,69;-1,76;2,76;0,34;19,21;;0,00;-38,77;4,05;-0,01;32.435.526,40
RSUL3;0,00;;0,00;0,00;0,00;41,67;23,40;14,96;0,00;1,11;-0,30;-0,10;0,00;0,00;0,00;3,22;21,84;13,44;9,33;0,62;0,38;0,90;16,58;;;47,32;10,34;0,00;138.035.847,00
RSUL4;55,32;;5,35;1,17;0,72;41,67;23,40;14,96;3,42;1,11;-0,30;-0,10;0,80;1,83;-1,67;3,22;21,84;13,44;9,33;0,62;0,38;0,90;16,58;;187.251,10;47,32;10,34;0,76;138.035.847,00
SANB11;26,35;8,76;7,56;0,78;0,08;35,45;10,12;7,87;5,87;5,87;;;0,59;-1,20;-0,08;0,23;10,34;1,01;;0,10;0,90;0,13;20,95;-0,57;69.023.256,43;33,71;3,49;-2,57;98.793.146.596,93
SANB3;12,63;8,70;7,24;0,75;0,07;35,45;10,12;7,87;5,63;5,87;;;0,57;-1,15;-0,07;0,23;10,34;1,01;;0,10;0,90;0,13;20,95;-0,57;964.061,19;16,86;1,74;-2,46;98.793.146.596,93
SANB4;13,83;8,74;7,93;0,82;0,08;35,45;10,12;7,87;6,17;5,87;;;0,62;-1,26;-0,08;0,23;10,34;1,01;;0,10;0,90;0,13;20,95;-0,57;1.205.502,68;16,86;1,74;-2,70;98.793.146.596,93
SAPR11;37,45;5,24;9,25;0,89;0,42;57,82;27,82;16,66;5,54;6,48;0,94;0,15;1,54;21,17;-0,57;1,08;9,64;4,56;7,59;0,47;0,53;0,27;8,47;4,21;57.023.400,59;42,02;4,05;-0,19;11.318.929.337,31
SAPR3;8,54;4,25;10,54;1,02;0,48;57,82;27,82;16,66;6,31;6,48;0,94;0,15;1,76;24,14;-0,65;1,08;9,64;4,56;7,59;0,47;0,53;0,27;8,47;4,21;754.615,57;8,40;0,81;-0,22;11.318.929.337,31
SAPR4;7,25;5,51;8,95;0,86;0,41;57,82;27,82;16,66;5,36;6,48;0,94;0,15;1,49;20,49;-0,55;1,08;9,64;4,56;7,59;0,47;0,53;0,27;8,47;4,21;7.050.951,52;8,40;0,81;-0,18;11.318.929.337,31
SAUD3;14,28;5,01;73,91;29,16;19,65;34,83;30,64;23,09;55,70;55,00;-0,70;-0,37;17,06;460,60;-28,55;1,16;39,45;26,59;19,06;0,67;0,32;1,15;6,51;9,36;64.657.286,14;0,49;0,19;151,44;41.757.572.158,68
SBFG3;10,70;5,07;7,37;0,80;0,27;48,56;6,85;4,20;4,52;9,44;4,92;0,87;0,31;1,94;-0,54;1,39;10,84;3,67;8,17;0,34;0,66;0,87;26,30;;22.223.378,24;13,39;1,45;-0,18;2.468.104.735,80
SBSP3;29,60;2,35;11,95;2,39;0,89;36,58;33,15;22,03;7,94;10,41;2,47;0,74;2,63;9,46;-1,15;1,74;19,97;7,48;7,32;0,37;0,62;0,34;16,44;55,08;375.612.333,76;12,40;2,48;-0,81;104.326.207.140,00
SCAR3;12,40;57,26;15,97;0,69;0,25;46,94;18,55;15,76;13,57;22,36;8,79;0,45;2,52;5,46;-0,31;1,36;4,32;1,59;1,84;0,37;0,64;0,10;-2,45;-12,49;237.394,29;17,99;0,78;-0,06;715.942.755,60
SEDU3;23,80;;-13,36;15,00;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,90;-2,27;1,09;-112,29;-11,46;-13,15;0,10;0,90;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;11,14;2,14;5,81;1,01;0,40;59,66;20,61;10,91;3,08;3,92;0,84;0,28;0,63;3,23;-0,62;1,56;17,40;6,91;19,39;0,40;0,60;0,63;12,13;8,37;6.791.832,38;11,01;1,92;0,02;1.433.958.178,40
SEQL3;0,08;;-2,52;-2,78;0,68;6,82;-4,67;-34,10;-18,40;-29,40;-10,99;;0,86;-2,10;-0,85;0,39;-110,33;-26,86;-77,35;-0,24;1,24;0,79;-9,89;;195.842,29;-0,03;-0,03;0,03;509.639.093,76
SGPS3;1,64;;-0,03;-0,02;0,01;4,26;-86,62;-139,61;-0,04;-2,72;-2,68;;0,04;-0,01;-0,01;0,25;-64,46;-26,55;-303,18;-0,41;1,41;0,19;-20,94;;;-95,16;-61,34;0,00;16.400.000,00
SHOW3;5,90;;-0,91;0,40;0,13;28,06;-8,81;-22,80;-2,36;-0,67;1,69;-0,28;0,21;1,07;-0,25;1,30;-43,49;-13,74;-13,15;0,32;0,68;0,60;35,22;;103.042,29;14,86;-6,46;0,02;39.773.445,80
SHUL3;27,31;1,51;35,74;6,38;3,26;22,44;10,96;14,43;47,06;24,13;-0,65;-0,09;5,16;8,36;-9,08;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14,00;;4,28;0,76;14,32;5.140.232.140,68
SHUL4;4,74;9,59;6,20;1,11;0,57;22,44;10,96;14,43;8,17;24,13;-0,65;-0,09;0,90;1,45;-1,58;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14,00;1.930.766,95;4,28;0,76;2,49;5.140.232.140,68
SIMH3;8,07;2,12;-52,83;1,11;0,05;26,35;18,52;-0,20;0,58;6,10;5,52;10,59;0,11;0,67;-0,08;1,30;-2,10;-0,10;11,98;0,05;0,92;0,49;34,72;;19.079.373,95;7,29;-0,15;0,85;4.710.937.478,37
SLCE3;13,17;6,88;20,27;1,24;0,33;29,16;16,38;3,38;4,18;8,22;4,04;1,19;0,69;1,42;-0,58;2,20;6,10;1,64;11,68;0,27;0,70;0,48;20,30;-7,89;44.683.198,52;10,66;0,65;-0,33;6.568.483.898,10
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,01;16.497.692,59
SMFT3;19,42;5,35;17,34;2,02;0,53;42,93;23,71;9,00;6,58;8,84;2,26;0,69;1,56;4,72;-0,72;1,72;11,65;3,05;12,29;0,26;0,74;0,34;41,96;;78.301.832,18;9,62;1,12;0,36;11.965.241.570,48
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;20,63;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;15,04;3,04;5,98;0,68;0,21;26,22;18,77;11,25;3,58;8,85;5,27;1,00;0,67;1,12;-0,31;2,62;11,35;3,57;4,03;0,31;0,69;0,32;11,54;-2,04;28.773.786,57;22,15;2,52;0,12;4.999.828.280,64
SNSY3;9,75;;-0,24;-0,03;0,13;19,10;-3,62;-32,42;-2,19;-9,59;-7,14;;0,08;-0,37;-0,31;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;2.572,11;-302,39;-39,88;0,00;84.137.824,80
SNSY5;1,75;;-0,04;-0,01;0,02;19,10;-3,62;-32,42;-0,39;-9,59;-7,14;;0,01;-0,07;-0,06;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;9.923,76;-302,39;-39,88;0,00;84.137.824,80
SNSY6;11,51;;-0,29;-0,04;0,16;19,10;-3,62;-32,42;-2,59;-9,59;-7,14;;0,09;-0,43;-0,36;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;;-302,39;-39,88;0,00;84.137.824,80
SOJA3;6,03;4,93;34,70;0,64;0,25;10,86;4,08;0,94;8,00;15,81;7,81;0,62;0,33;0,46;-0,77;4,60;1,84;0,71;1,65;0,39;0,61;0,76;34,83;-18,88;4.408.638,14;9,42;0,17;-0,46;855.673.208,64
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-47,20;0,61;0,39;0,56;37,72;80,87;99.716.529,00;7,40;2,01;0,01;4.669.246.869,35
SOND3;38,66;22,14;2,81;1,33;0,73;35,67;19,63;14,61;2,09;2,58;-0,97;-0,61;0,41;2,61;-2,06;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;3.866,00;29,12;13,78;0,07;161.212.922,00
SOND5;80,50;11,69;5,84;2,76;1,51;35,67;19,63;14,61;4,35;2,58;-0,97;-0,61;0,85;5,42;-4,30;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;4.786,00;29,12;13,78;0,14;161.212.922,00
SOND6;79,98;11,77;5,81;2,75;1,51;35,67;19,63;14,61;4,32;2,58;-0,97;-0,61;0,85;5,39;-4,27;1,76;47,32;25,92;25,23;0,55;0,45;1,77;28,62;9,92;5.999,13;29,12;13,78;0,14;161.212.922,00
SPRT3B;76,40;;-1.991,34;1.709,07;1.584,90;;;;-1.950,74;-1.949,51;1,23;-1,08;;1.709,07;;13,76;-85,83;-79,59;-87,61;0,93;0,07;0,00;;;;0,04;-0,04;308,13;370.531.748,80
SQIA3;27,37;;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;2,68;0,40;0,58;0,41;35,51;;;7,40;-0,25;0,62;2.406.971.773,64
SRNA3;1,03;;-12,79;0,12;0,03;14,10;16,22;-0,73;0,57;9,98;9,40;1,95;0,09;0,46;-0,04;1,49;-0,93;-0,23;5,57;0,25;0,75;0,32;;;6.388,00;8,68;-0,08;0,01;641.412.472,68
STBP3;14,42;;13,44;13,60;2,24;59,07;46,45;25,05;7,25;8,53;1,29;2,41;3,37;228,55;-2,66;1,07;101,21;16,65;25,49;0,16;0,84;0,66;31,30;;3.082.209,00;1,06;1,07;0,79;12.461.336.720,98
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;4,97;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;21,15;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00
SULA11;20,76;;48,73;1,06;0,29;4,25;-3,34;0,83;-12,06;7,41;19,47;-1,71;0,40;0,79;-0,85;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;313.020.093,00;19,64;0,43;-0,88;8.840.533.965,20
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;7,41;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;8.840.533.965,20
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;7,41;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;8.840.533.965,20
SUZB3;40,11;2,80;4,46;1,06;0,31;31,42;20,52;22,96;4,99;11,72;6,73;1,42;1,02;1,68;-0,41;3,51;23,68;6,86;-0,36;0,29;0,71;0,30;10,47;;241.655.844,14;38,00;9,00;0,00;50.703.757.537,65
SYNE3;4,30;9,75;10,01;0,95;0,29;54,13;47,58;20,11;4,23;5,85;1,62;0,36;2,01;11,81;-0,33;1,27;9,47;2,92;6,66;0,31;0,35;0,15;-7,59;5,31;1.731.745,91;4,54;0,43;-0,11;656.371.113,50
TAEE11;39,72;8,25;8,72;1,72;0,59;54,77;57,40;33,52;5,10;8,85;3,75;1,27;2,92;6,28;-0,71;2,29;19,70;6,74;13,41;0,34;0,66;0,20;5,36;-7,07;47.155.749,36;23,10;4,55;-1,26;13.683.496.586,04
TAEE3;13,18;8,28;8,69;1,71;0,59;54,77;57,40;33,52;5,07;8,85;3,75;1,27;2,91;6,25;-0,70;2,29;19,70;6,74;13,41;0,34;0,66;0,20;5,36;-7,07;1.143.927,05;7,70;1,52;-1,25;13.683.496.586,04
TAEE4;13,33;8,20;8,78;1,73;0,59;54,77;57,40;33,52;5,13;8,85;3,75;1,27;2,94;6,33;-0,71;2,29;19,70;6,74;13,41;0,34;0,66;0,20;5,36;-7,07;1.866.292,19;7,70;1,52;-1,27;13.683.496.586,04
TASA3;5,34;0,09;-19,80;0,63;0,30;33,32;1,45;-2,56;34,98;58,93;25,44;0,46;0,51;1,53;-0,69;1,53;-3,16;-1,52;-1,45;0,48;0,52;0,59;-3,77;;70.336,81;8,52;-0,27;0,13;712.095.771,66
TASA4;4,98;0,06;-18,46;0,58;0,28;33,32;1,45;-2,56;32,62;58,93;25,44;0,46;0,47;1,43;-0,65;1,53;-3,16;-1,52;-1,45;0,48;0,52;0,59;-3,77;;1.713.264,10;8,52;-0,27;0,12;712.095.771,66
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;0,86;;-0,56;0,24;0,06;-13,99;-17,42;-58,25;-1,87;-16,86;-15,00;1,96;0,33;0,50;-0,09;1,78;-43,60;-11,47;-4,78;0,26;0,73;0,20;3,50;;70.263,24;3,53;-1,54;0,03;63.312.537,80
TECN3;8,75;4,69;7,25;1,22;0,78;54,72;15,68;15,21;7,04;7,26;0,23;0,04;1,10;1,66;-2,26;3,60;16,78;10,80;14,07;0,64;0,36;0,71;14,36;;358.717,90;7,19;1,21;0,46;532.929.381,25
TEKA3;42,50;;0,07;-0,01;0,02;25,24;33,32;86,07;0,18;0,64;0,52;;0,06;-0,01;-0,02;0,05;-13,72;26,07;24,60;-1,90;2,90;0,30;17,70;;;-4.358,97;597,89;0,00;14.260.237,50
TEKA4;21,25;;0,04;0,00;0,01;25,24;33,32;86,07;0,09;0,64;0,52;;0,03;0,00;-0,01;0,05;-13,72;26,07;24,60;-1,90;2,90;0,30;17,70;;;-4.358,97;597,89;0,00;14.260.237,50
TELB3;10,40;;17,14;0,64;0,24;-35,04;30,26;12,09;6,85;-3,45;-9,95;-0,93;2,07;0,52;-0,53;6,38;3,72;1,41;6,96;0,38;0,62;0,12;12,97;;13.175,48;16,30;0,61;0,02;1.006.877.517,48
TELB4;7,48;;12,33;0,46;0,17;-35,04;30,26;12,09;4,93;-3,45;-9,95;-0,93;1,49;0,38;-0,38;6,38;3,72;1,41;6,96;0,38;0,62;0,12;12,97;;14.020,77;16,30;0,61;0,01;1.006.877.517,48
TEND3;36,85;3,35;7,48;3,33;0,64;30,80;13,56;13,43;7,42;7,95;0,53;0,24;1,01;2,20;-1,52;2,00;44,45;8,51;19,90;0,19;0,81;0,63;12,83;24,68;73.568.948,57;11,08;4,92;0,03;4.517.004.901,20
